fecha;serie_hidrologica;region_hidrologica;aporte_hidrico
2023-01-15;EMBACHUZ;Oriente;1378000
2023-01-15;EMBAGUAV;Oriente;9828800
2023-01-15;ESMEBATA;Oriente;5019100
2023-01-15;ALTOANCH;Valle;4191400
2023-01-15;BAJOANCH;Valle;389200
2023-01-15;CAL1CALM;Valle;1195300
2023-01-15;FLR2CAUC;Valle;320000
2023-01-15;SALVCAUC;Valle;18215700
2023-01-16;BOCATENC;Antioquia;1151300
2023-01-16;CLLRPORC;Antioquia;4622400
2023-01-16;DESVIEPM;Antioquia;2295600
2023-01-16;ITUACAUC;Antioquia;64825800
2023-01-16;MIRFTENC;Antioquia;553200
2023-01-16;PENONARE;Antioquia;12773700
2023-01-16;PLAYGUAT;Antioquia;3073600
2023-01-16;PP-2POR1;Antioquia;2954600
2023-01-16;PP-3PORC;Antioquia;1060900
2023-01-16;PUNCGUAT;Antioquia;3918400
2023-01-16;QUBRRGRD;Antioquia;72700
2023-01-16;RGR2RGRD;Antioquia;9700800
2023-01-16;SLORNARE;Antioquia;4650600
2023-01-16;SMIGCALD;Antioquia;1387300
2023-01-16;TRONGUAD;Antioquia;3338900
2023-01-16;DESVGUAR;Caldas;500
2023-01-16;DESVMANS;Caldas;244500
2023-01-16;PTEHMIEL;Caldas;6449000
2023-01-16;URR1SINU;Caribe;4649400
2023-01-16;ALICBOGO;Centro;25178200
2023-01-16;AMOYAMOY;Centro;1518800
2023-01-16;BETAMAG1;Centro;2202100
2023-01-16;CUCUCUCU;Centro;1396000
2023-01-16;DESVSMAR;Centro;359700
